,brand,categories,colors,price,is_available,condition,is_sale,source,shipping,is_special_offer,is_returnable,manufacturer
1284,Forever Young,shoes,black,29.99,1,New,1,Overstock.com,No,1,0,RB-1904
1284,Forever Young,clothing,black,29.99,1,New,1,Overstock.com,No,1,0,RB-1904
1286,Forever Young,shoes,black,49.88,1,New,1,Overstock.com,No,1,0,RB-1904
1286,Forever Young,clothing,black,49.88,1,New,1,Overstock.com,No,1,0,RB-1904
7862,Hush Puppies,shoes,black,23.54,1,New,1,Overstock.com,No,1,0,H509362-635-75 M US
7862,Hush Puppies,shoes,pink,23.54,1,New,1,Overstock.com,No,1,0,H509362-635-75 M US
7862,Hush Puppies,clothing,black,23.54,1,New,1,Overstock.com,No,1,0,H509362-635-75 M US
7862,Hush Puppies,clothing,pink,23.54,1,New,1,Overstock.com,No,1,0,H509362-635-75 M US
7863,Hush Puppies,shoes,black,27.12,0,New,1,Overstock.com,No,1,0,H509362-635-75 M US
7863,Hush Puppies,shoes,pink,27.12,0,New,1,Overstock.com,No,1,0,H509362-635-75 M US
7863,Hush Puppies,clothing,black,27.12,0,New,1,Overstock.com,No,1,0,H509362-635-75 M US
7863,Hush Puppies,clothing,pink,27.12,0,New,1,Overstock.com,No,1,0,H509362-635-75 M US
7864,Hush Puppies,shoes,black,58.49,1,New,1,Overstock.com,No,1,0,H509362-635-75 M US
7864,Hush Puppies,shoes,pink,58.49,1,New,1,Overstock.com,No,1,0,H509362-635-75 M US
7864,Hush Puppies,clothing,black,58.49,1,New,1,Overstock.com,No,1,0,H509362-635-75 M US
7864,Hush Puppies,clothing,pink,58.49,1,New,1,Overstock.com,No,1,0,H509362-635-75 M US
7865,Hush Puppies,shoes,black,62.39,0,New,1,Overstock.com,No,1,0,H509362-635-75 M US
7865,Hush Puppies,shoes,pink,62.39,0,New,1,Overstock.com,No,1,0,H509362-635-75 M US
7865,Hush Puppies,clothing,black,62.39,0,New,1,Overstock.com,No,1,0,H509362-635-75 M US
7865,Hush Puppies,clothing,pink,62.39,0,New,1,Overstock.com,No,1,0,H509362-635-75 M US
7981,Soda,shoes,blue,21.99,1,New,1,Overstock.com,No,1,0,ADALA-MFS-BLUE55
7981,Soda,clothing,blue,21.99,1,New,1,Overstock.com,No,1,0,ADALA-MFS-BLUE55
7983,Soda,shoes,blue,21.99,0,New,1,Overstock.com,No,1,0,ADALA-MFS-BLUE55
7983,Soda,clothing,blue,21.99,0,New,1,Overstock.com,No,1,0,ADALA-MFS-BLUE55
8636,Kung Fu Panda,clothing,white,25.0,1,New,0,Overstock.com,No,1,0,Comfy Feet
8636,Kung Fu Panda,shoes,white,25.0,1,New,0,Overstock.com,No,1,0,Comfy Feet
8636,Kung Fu Panda,slippers,white,25.0,1,New,0,Overstock.com,No,1,0,Comfy Feet
8637,ASICS,shoes,blue,65.87,1,New,0,Overstock.com,No,1,0,asics
8637,ASICS,shoes,grey,65.87,1,New,0,Overstock.com,No,1,0,asics
8637,ASICS,clothing,blue,65.87,1,New,0,Overstock.com,No,1,0,asics
